engine,headroom_pct,vehicles,planned_km,max_route_load_pct,fail_scenarios_pct,mean_restocks,mean_extra_km,p95_extra_km,max_extra_km,expected_total_km
clarke-wright,0,10,1046.216,100.0,96.5,2.655,178.296,333.727,434.783,1224.511
clarke-wright,5,10,1039.093,94.0,54.0,0.705,40.714,131.228,260.634,1079.806
clarke-wright,10,11,1072.110,90.0,21.0,0.225,12.795,74.851,113.913,1084.905
clarke-wright,15,12,1145.667,84.0,1.0,0.010,0.553,0.000,63.702,1146.220
or-tools,0,10,1001.610,100.0,96.0,2.175,117.389,214.434,291.923,1118.999
or-tools,5,10,1031.983,94.0,44.5,0.515,35.431,108.690,238.954,1067.414
or-tools,10,11,1093.255,90.0,17.0,0.190,8.098,57.570,114.479,1101.354
or-tools,15,11,1135.954,84.0,1.0,0.010,0.866,0.000,88.147,1136.820
