shift_cap_min,feasible,vans,total_distance_km,longest_route_km,worst_duty_min,worst_drive_min,worst_continuous_drive_min,breaks,total_drive_min,total_service_min,total_break_min
480,true,10,1001.610,141.536,254.111,212.304,212.304,0,1502.416,300.000,0.000
420,true,10,1001.610,141.536,254.111,212.304,212.304,0,1502.416,300.000,0.000
360,true,10,1010.272,141.102,247.240,211.653,211.653,0,1515.407,300.000,0.000
300,true,10,1014.286,141.102,254.111,211.653,211.653,0,1521.428,300.000,0.000
240,true,10,1054.355,141.485,237.227,212.227,212.227,0,1581.532,300.000,0.000
210,true,11,1177.108,132.615,208.923,198.923,198.923,0,1765.661,300.000,0.000
180,false,0,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000
